CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
10734693,1,8.0,Computer,Elijahbury,10.0,Debit Card,Male,3.0,5,Mobile,2,Divorced,6,0,12.0,1.0,4.0,6.0,153
3546599,0,0.0,Phone,West Bryan,,Credit Card,Male,3.0,3,Laptop & Accessory,3,Single,6,0,17.0,1.0,1.0,1.0,111
8335027,0,9.0,Mobile Phone,Michaelburgh,7.0,Credit Card,Male,2.0,3,Laptop & Accessory,4,Single,5,0,14.0,1.0,1.0,0.0,214
6028771,0,0.0,Computer,Benjaminstad,7.0,E wallet,Male,2.0,4,Others,2,Single,12,1,13.0,,1.0,6.0,137
5844949,0,30.0,Mobile Phone,Barnesport,8.0,Credit Card,Female,2.0,3,Laptop & Accessory,4,Divorced,2,1,13.0,0.0,1.0,8.0,166
8828426,0,2.0,Computer,West Rachel,18.0,Credit Card,Male,2.0,3,Mobile,2,Single,6,0,18.0,1.0,6.0,2.0,152
4650151,0,18.0,Computer,Port Deborah,9.0,Credit Card,Female,2.0,4,Mobile,2,Married,7,1,15.0,1.0,1.0,7.0,136
9727611,0,14.0,Mobile Phone,Bookerbury,16.0,Credit Card,Female,2.0,3,Fashion,5,Divorced,3,1,17.0,0.0,2.0,2.0,241
2179414,1,12.0,Computer,Huffmanberg,19.0,Credit Card,Female,2.0,5,Laptop & Accessory,3,Single,5,0,23.0,0.0,3.0,0.0,210
3358217,0,0.0,Phone,Harrisbury,35.0,E wallet,Female,2.0,3,Laptop & Accessory,2,Divorced,7,1,13.0,0.0,1.0,9.0,143
3139501,0,0.0,Computer,New David,12.0,Debit Card,Female,3.0,4,Mobile,3,Single,2,1,,1.0,1.0,0.0,209
11872386,0,0.0,Phone,New Michael,35.0,Credit Card,Female,3.0,3,Others,5,Divorced,3,0,11.0,1.0,1.0,2.0,200
16312324,0,0.0,Computer,New Charles,6.0,Credit Card,Male,2.0,4,Others,5,Single,6,0,17.0,0.0,1.0,0.0,216
13573606,0,0.0,Phone,Michaelville,18.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,7,1,24.0,1.0,1.0,,118
2692209,0,20.0,Phone,New Michellemouth,8.0,Debit Card,Female,2.0,3,Mobile Phone,5,Divorced,5,0,25.0,1.0,3.0,0.0,238
8690442,0,10.0,Computer,Riceburgh,14.0,Credit Card,Male,3.0,3,Mobile,3,Divorced,3,1,13.0,1.0,1.0,,218
3538017,0,0.0,Phone,Johnsonview,11.0,Credit Card,Male,2.0,3,Laptop & Accessory,2,Single,2,0,25.0,0.0,1.0,3.0,193
9316679,0,0.0,Mobile Phone,Anthonyburgh,19.0,UPI,Male,2.0,2,Mobile,3,Single,3,0,13.0,1.0,4.0,7.0,158
2010532,0,11.0,Mobile Phone,Martinezland,33.0,E wallet,Male,2.0,2,Mobile Phone,2,Single,3,0,15.0,0.0,1.0,2.0,170
