Product Name,Vendor Name,Product Title,Price,Currency,Bulk Discounts or Deals,Vendor Website,Short Product Description,Minimum Order Quantity,Shipping Time
iPhone 15 Pro Max,UNO.ma,iPhone 15 Pro Max,18990,MAD,Available on request,https://uno.ma,Largest authorized Apple reseller network in Morocco with 12 sales points; offers a wide range of Apple products including latest iPhones.,1,1-3 days
,,,,,,,,,
iPhone 17 Pro,iSTYLE Morocco,iPhone 17 Pro,18390,MAD,Possible for business clients,https://istyle.ma,Apple Premium Authorized Reseller in Casablanca offering authentic Apple products with full support.,1,1-3 days
,,,,,,,,,
iPhone Air (various configurations),MAGIMAG (Wintek),iPhone Air (various configurations),"16,990 to 23,990 MAD",MAD,Available for wholesale buyers,https://magimag.ma,Official Apple distributor and reseller in Morocco specializing in hardware and software solutions nationwide.,1,Few days
,,,,,,,,,
Acer Predator Helios Neo 16 (Gaming Laptop),Nmar.ma,Acer Predator Helios Neo 16 (Gaming Laptop),19500,MAD,Available on inquiry,https://nmar.ma,Leading online tech store offering a wide range of laptops from gaming to professional models.,1,1-3 days
,,,,,,,,,
Lenovo ThinkPad E16 Gen 2,BitStore.ma,"Lenovo ThinkPad E16 Gen 2 – AMD Ryzen 7, 16GB DDR5, 512GB SSD",11200,MAD,Negotiable for corporate clients,https://bitstore.ma/en/63-ordinateur,"Offers various laptops including gaming, professional, and workstation models with competitive pricing.",1,1-3 days
,,,,,,,,,
Apple MacBook Air 13 pouces (puce M1) 256 Gb,Ubuy.ma,Apple MacBook Air 13 pouces (puce M1) 256 Gb,12990,MAD,Possible for large orders,https://www.ubuy.ma/en/category/laptops-21457,Wide selection of branded laptops including MacBooks and gaming laptops with easy online ordering.,1,Few days
,,,,,,,,,
